Wavelength (air nm)	Wavelength (vac nm)	Gfactor (J / s / mol)	Einstein A Coeff. (1/s)	Lower level Energy (1/cm)	Upper level Energy (1/cm)	Accuracy	Lower Electronic State	Lower Spin State	Lower Vibrational State	Lower Rotational Quantum Number (N)	Lower Total Angular Momentum (J)	Upper Electronic State	Upper Spin State	Upper Vibrational State	Upper Rotational Quantum Number (N)	Upper Total Angular Momentum (J)	Band Label
224.95484096094583	225.02458170906849	2.311023729340038e-43	27.8524733093201	1492.69638144	45932.28571008	A	X	e	1	16	16	Pi	f	7	16	16	Q(16)
224.9622698411638	225.03201218367445	2.303014030314056e-54	14.1780364040128	1840.93396264	46279.05591232	A	X	e	1	26	26	Pi	e	7	27	27	R(26)
224.97086220276987	225.04060638944316	3.01582563735134e-44	27.8465237803664	1520.24948776	45956.67436432	A	X	e	1	17	17	Pi	f	7	17	17	Q(17)
224.98065870912205	225.0504049984904	1.9672294074753953e-55	14.1656791766553	1884.63110176	46319.12123328	A	X	e	1	27	27	Pi	e	7	28	28	R(27)
224.98783524872073	225.05758307850186	3.654213095016533e-45	27.8402226447657	1549.41998824	45982.49290768	A	X	e	1	18	18	Pi	f	7	18	18	Q(18)
225.00002137461723	225.06977182021348	1.5914064205981575e-56	14.1537456585775	1929.93839904	46360.605028	A	X	e	1	28	28	Pi	e	7	29	29	R(28)
225.00576171058773	225.0755133884276	4.183066792436807e-46	27.8335696235567	1580.207304	46009.740528	A	X	e	1	19	19	Pi	f	7	19	19	Q(19)
225.0203604063576	225.09011521815896	1.32903537488346e-57	14.1421762149535	1976.854954	46403.505988	A	X	e	1	29	29	Pi	e	7	30	30	R(29)
225.024643290849	225.09439902211446	4.647655472549276e-47	27.8265644226183	1612.610824	46038.416368	A	X	e	1	20	20	Pi	f	7	20	20	Q(20)
225.04167846567734	225.11143785429095	1.0628773650637713e-58	14.1309187394062	2025.379834	46447.82275968	A	X	e	1	30	30	Pi	e	7	31	31	R(30)
225.04448178285898	225.11424177335508	5.140731675444623e-48	27.8192067327239	1646.62990504	46068.51952528	A	X	e	1	21	21	Pi	f	7	21	21	Q(21)
225.06397830681613	225.133742483502	8.512657339144686e-60	14.1199274947144	2075.51207424	46493.55394432	A	X	e	1	31	31	Pi	e	7	32	32	R(31)
225.0652790710456	225.13504352703802	5.4124613847833405e-49	27.8114962295998	1682.26387176	46100.04905232	A	X	e	1	22	22	Pi	f	7	22	22	Q(22)
225.08703713111814	225.15680625935545	5.531356043125475e-50	27.8034325739855	1719.51201664	46133.00395648	A	X	e	1	23	23	Pi	f	7	23	23	Q(23)
225.08726277720925	225.1570319539034	5.901589355058905e-61	14.109162161164	2127.25067776	46540.69809808	A	X	e	1	32	32	Pi	e	7	33	33	R(32)
225.10975803028515	225.17953203802142	5.674509840456347e-51	27.7950154116978	1758.3736	46167.3832	A	X	e	1	24	24	Pi	f	7	24	24	Q(24)
225.1115348177898	225.1813092071271	4.706294590511918e-62	14.0985870504125	2180.59461544	46589.253732	A	X	e	1	33	33	Pi	e	7	34	34	R(33)
