State	Vibr.	J	Energy	Index
Pi	8	4	46659.244036	847
Pi	8	5	46666.330481	848
Pi	8	6	46674.83371076	849
Pi	8	7	46684.75345024	850
Pi	7	36	46690.59325888	851
Pi	8	8	46696.08937856	852
Pi	8	9	46708.841129	853
Pi	8	10	46723.008289	854
Pi	8	11	46738.59040016	855
Pi	7	37	46743.37394832	856
Pi	8	12	46755.58695824	857
Pi	8	13	46773.99741316	858
Pi	8	14	46793.821169	859
Pi	7	38	46797.55971088	860
Pi	8	15	46815.057584	861
Pi	8	16	46837.70597056	862
Pi	7	39	46853.148832	863
Pi	8	17	46861.76559524	864
Pi	8	18	46887.23567876	865
Pi	7	40	46910.139552	866
Pi	8	19	46914.115396	867
Pi	8	20	46942.403876	868
Pi	7	41	46968.53006608	869
Pi	8	21	46972.10020196	870
Pi	8	22	47003.20341124	871
Pi	7	42	47028.31852432	872
Pi	8	23	47035.71249536	873
Pi	8	24	47069.6264	874
Pi	7	43	47089.50303168	875
Pi	8	25	47104.944025	876
Pi	8	26	47141.66422436	877
Pi	7	44	47152.081648	878
Pi	8	27	47179.78580624	879
Pi	7	45	47216.052388	880
Pi	8	28	47219.30753296	881
Pi	8	29	47260.228121	882
Pi	7	46	47281.41322128	883
Pi	8	30	47302.546241	884
Pi	8	31	47346.26051776	885
Pi	7	47	47348.16207232	886
Pi	8	32	47391.36953024	887
Pi	7	48	47416.29682048	888
Pi	8	33	47437.87181156	889
Pi	8	34	47485.765849	890
Pi	7	49	47485.8153	891
Pi	8	35	47535.050084	892
Pi	7	50	47556.7153	893
Pi	8	36	47585.72291216	894
Pi	8	37	47637.78268324	895
Pi	8	38	47691.22770116	896
Pi	8	39	47746.056224	897
Pi	8	40	47802.266464	898
