Wavelength (air nm)	Wavelength (vac nm)	Gfactor (J / s / mol)	Einstein A Coeff. (1/s)	Lower level Energy (1/cm)	Upper level Energy (1/cm)	Accuracy	Lower Electronic State	Lower Spin State	Lower Vibrational State	Lower Rotational Quantum Number (N)	Lower Total Angular Momentum (J)	Upper Electronic State	Upper Spin State	Upper Vibrational State	Upper Rotational Quantum Number (N)	Upper Total Angular Momentum (J)	Band Label
213.75315526371247	213.82056228237732	2.3232039656356894e-25	4848365.27065772	2222.856715	48991.043522	A	X	F2f	1	4	3.5	B	F2f	2	5	4.5	rR2(3.5)
213.75334141799686	213.82074847411525	5.2799906218378665e-27	110189.831932467	2222.89744	48991.043522	A	X	F1e	1	4	4.5	B	F2f	2	5	4.5	rQ21(4.5)
213.76042954854364	213.82783803080338	2.444734695310261e-25	4847870.3731827	2207.3069486	48973.902412	A	X	F1e	1	3	3.5	B	F1e	2	4	4.5	rR1(3.5)
213.76068382822365	213.82809236164616	2.376460254964432e-25	4674715.46496633	2207.2752736	48973.815112	A	X	F2f	1	3	2.5	B	F2f	2	4	3.5	rR2(2.5)
213.76082862505777	213.8282371876144	8.801680802445414e-27	173137.258015246	2207.3069486	48973.815112	A	X	F1e	1	3	3.5	B	F2f	2	4	3.5	rQ21(3.5)
213.7700611356559	213.83747155592096	2.3608552972503922e-25	4674100.37433981	2195.6124154	48960.10101152	A	X	F1e	1	2	2.5	B	F1e	2	3	3.5	rR1(2.5)
213.77026812077347	213.83767858268823	1.8389928555954812e-25	4362481.01209574	2195.5897904	48960.03311152	A	X	F2f	1	2	1.5	B	F2f	2	3	2.5	rR2(1.5)
213.7703715563358	213.83778203906394	1.3135637833729242e-26	311605.334306604	2195.6124154	48960.03311152	A	X	F1e	1	2	2.5	B	F2f	2	3	2.5	rQ21(2.5)
213.7817474036699	213.84916017555088	1.7574467637046838e-25	4361778.38307983	2187.8142976	48949.74682888	A	X	F1e	1	1	1.5	B	F1e	2	2	2.5	rR1(1.5)
213.7819070887901	213.84931989280577	1.089503426536493e-25	3634807.17505544	2187.8007226	48949.69832888	A	X	F2f	1	1	0.5	B	F2f	2	2	1.5	rR2(0.5)
213.7819691568719	213.84938197337797	2.1790043228073933e-26	726960.801899573	2187.8142976	48949.69832888	A	X	F1e	1	1	1.5	B	F2f	2	2	1.5	rQ21(1.5)
